Code,Description,Our Price,Market Price,Unit of Measurement,Category,Type
1001,TRANSFORMER LARGE,0.3,,LB,MISC,Non-Ferrous
1002,TRANSFORMER SMALL,0.15,,LB,MISC,Non-Ferrous
1003,TRANSFORMER MINI ,0.1,,LB,MISC,Non-Ferrous
1004,TRANSFORMER CASE SOLID,0.1,,LB,MISC,Non-Ferrous
1005,TRANSFORMER CASE JELL,0.1,,LB,MISC,Non-Ferrous
1006,SEALED UNITS,0.2,,LB,MISC,Non-Ferrous
1007,SEALED UNIT CAST IRON ,0.09,,LB,MISC,Non-Ferrous
1008,AC WHOLE UNIT,0.1,,LB,TRUCK SCALE,Non-Ferrous
1009,ELECTRONIC BALLASTS,0.07,,LB,MISC,Non-Ferrous
101,SHEET,0.55,,LB,ALUMINUM,Non-Ferrous
1010,SMALL MOTORS CLEAN,0.25,,LB,MISC,Non-Ferrous
1011,SMALL MOTORS DIRTY,0.1,,LB,MISC,Non-Ferrous
1012,STARTER AL NOSE,0.4,,LB,MISC,Non-Ferrous
1013,STARTER STEEL NOSE,0.3,,LB,MISC,Non-Ferrous
1014,ALTERNATOR,0.55,,LB,MISC,Non-Ferrous
1015,CATALYTIC CONVERTER,0,,EA,MISC,Non-Ferrous
1016,CONTENTS OF CATALYTIC CONVERTER,4,,LB,MISC,Non-Ferrous
1017,COPPER BEARING,0.05,,LB,MISC,Non-Ferrous
1018,MISC.,0,,LB,MISC,Non-Ferrous
1019,ALUM. COPPER TRANSFORMER,0.09,,LB,MISC,Non-Ferrous
102,CAST ALUM,0.48,,LB,ALUMINUM,Non-Ferrous
1020,CO2 SENSOR,1,,EA,MISC,Non-Ferrous
1021,AFTERMARKET CATALYTIC CONVERTER,5,,EA,MISC,Non-Ferrous
1022,COPPER BALLAST,0.16,,LB,MISC,Non-Ferrous
1023,FIRE EXTINGUISHERS CHARGED,0.03,,LB,MISC,Non-Ferrous
1024,MOTORCYCLE CAT CONTENTS,0.75,,LB,MISC,Non-Ferrous
1025,LARGE MOTORS CLEAN,0.2,,LB,MISC,Non-Ferrous
1026,LARGE MOTORS DIRTY,0.08,,LB,MISC,Non-Ferrous
1028,MIXED MOTORS CLEAN,0.15,,LB,MISC,Non-Ferrous
1029,MIXED MOTORS DIRTY,0.09,,LB,MISC,Non-Ferrous
103,DIECAST ALUM,0.5,,LB,ALUMINUM,Non-Ferrous
1030,ALUMINUM TRANSFORMER,0.11,,LB,MISC,Non-Ferrous
1031,FIRE EXTINGUISHERS DISCHARGED,0.05,,LB,MISC,Non-Ferrous
1032,PALLETS,1,,EA,MISC,Non-Ferrous
104,ALUM SIDING,0.62,,LB,ALUMINUM,Non-Ferrous
1040,CATALYTIC DIESEL DUST,0.5,,LB,MISC,Non-Ferrous
105,THERMO PANE,0.45,,LB,ALUMINUM,Non-Ferrous
106,EXTRUSION BARE,0.82,,LB,ALUMINUM,Non-Ferrous
107,EXTRUSION PAINTED,0.75,,LB,ALUMINUM,Non-Ferrous
108,CLIP BARE,0.66,,LB,ALUMINUM,Non-Ferrous
109,CLIP PAINTED,0.6,,LB,ALUMINUM,Non-Ferrous
110,ALUM CANS,0.52,,LB,ALUMINUM,Non-Ferrous
1102,INVAR,1.05,,LB,ALLOYS,Non-Ferrous
1103,NICKEL ,2,,LB,ALLOYS,Non-Ferrous
1104,TITANIUM ,0.3,,LB,ALLOYS,Non-Ferrous
1105,MONEL 400,0,,LB,ALLOYS,Non-Ferrous
1106,HASTELLOY,3,,LB,ALLOYS,Non-Ferrous
1107,INCONEL,1,,LB,ALLOYS,Non-Ferrous
1108,SPECIAL MATERIALS,0,,LB,ALLOYS,Non-Ferrous
1109,PEWTER,0.75,,LB,ALLOYS,Non-Ferrous
111,ALUM FOIL,0.1,,LB,ALUMINUM,Non-Ferrous
1110,COOPER NICKEL 90/10,2,,LB,ALLOYS,Non-Ferrous
1111,TUNGSTEN,4.5,,LB,ALLOYS,Non-Ferrous
1112,ZINC,0.25,,LB,ALLOYS,Non-Ferrous
1113,TIN,0,,LB,ALLOYS,Non-Ferrous
1114,DENSALLOY TUNGSTEN,2,,LB,ALLOYS,Non-Ferrous
1115,CARBIDE,5,,LB,ALLOYS,Non-Ferrous
1116,WELDING RODS,0,,LB,ALLOYS,Non-Ferrous
1117,SILVER,0,,TOZ,ALLOYS,Non-Ferrous
1118,COOPER NICKEL 70/30,2.4,,LB,ALLOYS,Non-Ferrous
1119,COOPER NICKEL 60/40,2.5,,LB,ALLOYS,Non-Ferrous
112,LITHO,0.8,,LB,ALUMINUM,Non-Ferrous
1120,MOLYBDENUM,4,,LB,ALLOYS,Non-Ferrous
1121,TANTALUM 100%,0,,LB,ALLOYS,Non-Ferrous
1122,CARBIDE - STEEL TIP,2,,LB,ALLOYS,Non-Ferrous
1123,MONEL 500,0,,LB,ALLOYS,Non-Ferrous
